city,area,rooms,bathroom,parking,floor,petFriendly,furnished,hoa,rent,tax,fireInsurance,allSpace,allCost,costPerArea,costPerRoom
São Paulo,70,2,1,1,7,Yes,Yes,2065,3300,211,42,4,2318,33.114285714285714,579.5
São Paulo,320,4,4,0,20,Yes,No,1200,4960,1750,63,8,3013,9.415625,376.625
Porto Alegre,80,1,1,1,6,Yes,No,1000,2800,0,41,3,1041,13.0125,347.0
Porto Alegre,51,2,1,0,2,Yes,No,270,1112,22,17,3,309,6.0588235294117645,103.0
São Paulo,25,1,1,0,1,No,No,0,800,25,11,2,36,1.44,18.0
São Paulo,376,3,3,7,1,Yes,No,0,8000,834,121,13,955,2.5398936170212765,73.46153846153847
Rio de Janeiro,72,2,1,0,7,Yes,No,740,1900,85,25,3,850,11.805555555555555,283.3333333333333
São Paulo,213,4,4,4,4,Yes,No,2254,3223,1735,41,12,4030,18.920187793427232,335.8333333333333
São Paulo,152,2,2,1,3,Yes,Yes,1000,15000,250,191,5,1441,9.480263157894736,288.2
Rio de Janeiro,35,1,1,0,2,Yes,Yes,590,2300,35,30,2,655,18.714285714285715,327.5
São Paulo,26,1,1,0,2,Yes,Yes,470,2100,150,27,2,647,24.884615384615383,323.5
Campinas,46,1,1,1,10,Yes,No,550,580,43,8,3,601,13.065217391304348,200.33333333333334
São Paulo,36,1,1,0,11,Yes,No,359,2100,70,27,2,456,12.666666666666666,228.0
São Paulo,55,1,1,1,2,Yes,Yes,790,4200,224,54,3,1068,19.418181818181818,356.0
São Paulo,100,2,2,2,24,Yes,Yes,900,4370,17,56,6,973,9.73,162.16666666666666
Campinas,330,4,6,6,1,Yes,Yes,680,8000,328,121,16,1129,3.4212121212121214,70.5625
São Paulo,110,2,2,1,1,Yes,No,700,3000,122,39,5,861,7.827272727272727,172.2
Rio de Janeiro,88,2,3,1,9,No,Yes,1614,3500,221,16,6,1851,21.03409090909091,308.5
Rio de Janeiro,56,2,1,0,8,Yes,No,800,1220,0,16,3,816,14.571428571428571,272.0
São Paulo,100,7,4,0,1,Yes,No,0,3800,118,58,11,176,1.76,16.0
Belo Horizonte,42,1,1,1,17,No,Yes,470,2690,172,36,3,678,16.142857142857142,226.0
São Paulo,160,3,2,2,18,Yes,Yes,1530,1900,167,25,7,1722,10.7625,246.0
São Paulo,35,1,1,0,1,Yes,No,0,1100,3,14,2,17,0.4857142857142857,8.5
Rio de Janeiro,90,3,2,1,7,Yes,No,800,1800,118,24,6,942,10.466666666666667,157.0
São Paulo,49,1,1,1,10,Yes,No,480,3500,42,45,3,567,11.571428571428571,189.0
São Paulo,41,1,1,1,5,No,Yes,600,3000,0,39,3,639,15.585365853658537,213.0
Belo Horizonte,64,2,2,1,11,Yes,No,352,1500,80,20,5,452,7.0625,90.4
Campinas,208,3,2,4,1,Yes,No,0,3180,100,48,9,148,0.7115384615384616,16.444444444444443
São Paulo,20,1,1,0,5,Yes,Yes,602,1800,130,23,2,755,37.75,377.5
São Paulo,55,2,2,2,6,Yes,No,780,1068,142,14,6,936,17.01818181818182,156.0
São Paulo,32,1,1,0,3,Yes,No,515,1700,29,22,2,566,17.6875,283.0
São Paulo,80,2,2,1,11,Yes,No,1208,2550,216,33,5,1457,18.2125,291.4
Rio de Janeiro,45,1,1,1,10,Yes,Yes,2450,2500,593,33,3,3076,68.35555555555555,1025.3333333333333
São Paulo,350,4,4,3,8,Yes,No,2100,4000,500,51,11,2651,7.574285714285714,241.0
Porto Alegre,38,1,1,2,11,No,No,450,1750,0,26,4,476,12.526315789473685,119.0
São Paulo,30,1,1,0,1,Yes,No,460,1600,0,21,2,481,16.033333333333335,240.5
Belo Horizonte,80,3,2,1,1,Yes,No,0,11000,425,181,6,606,7.575,101.0
São Paulo,70,2,1,0,1,No,No,0,1150,59,18,3,77,1.1,25.666666666666668
Porto Alegre,40,1,1,1,6,Yes,Yes,390,2990,0,44,3,434,10.85,144.66666666666666
São Paulo,300,4,6,4,20,Yes,No,3700,12000,1584,153,14,5437,18.123333333333335,388.35714285714283
São Paulo,240,3,2,3,1,Yes,No,0,3500,292,53,8,345,1.4375,43.125
Belo Horizonte,200,4,2,1,7,No,No,850,2550,9,34,7,893,4.465,127.57142857142857
Belo Horizonte,45,1,1,1,5,Yes,No,500,1631,192,12,3,704,15.644444444444444,234.66666666666666
São Paulo,360,4,5,0,1,Yes,No,4000,6410,2000,82,9,6082,16.894444444444446,675.7777777777778
São Paulo,40,1,1,1,10,Yes,Yes,978,2829,0,33,3,1011,25.275,337.0
Belo Horizonte,100,3,1,0,13,No,No,700,1220,10,17,4,727,7.27,181.75
Porto Alegre,42,1,1,2,2,Yes,Yes,190,1770,17,26,4,233,5.5476190476190474,58.25
Campinas,250,3,3,2,1,Yes,No,2200,1700,256,22,8,2478,9.912,309.75
Campinas,48,1,1,1,2,Yes,Yes,505,1600,59,21,3,585,12.1875,195.0
Rio de Janeiro,90,3,3,1,10,Yes,No,1250,3800,147,49,7,1446,16.066666666666666,206.57142857142858
São Paulo,45,1,2,1,15,Yes,Yes,856,3900,150,50,4,1056,23.466666666666665,264.0
Rio de Janeiro,150,2,3,4,6,Yes,No,1700,4000,700,52,9,2452,16.346666666666668,272.44444444444446
São Paulo,60,2,1,0,2,Yes,No,200,1445,0,19,3,219,3.65,73.0
São Paulo,31,1,1,0,4,Yes,No,370,2350,56,30,2,456,14.709677419354838,228.0
São Paulo,210,4,5,4,4,No,No,1650,9000,772,115,13,2537,12.08095238095238,195.15384615384616
São Paulo,280,3,1,2,1,Yes,No,0,6000,113,91,6,204,0.7285714285714285,34.0
Campinas,93,2,3,2,9,Yes,No,663,5500,133,70,7,866,9.311827956989248,123.71428571428571
Porto Alegre,75,3,2,1,9,Yes,No,340,1800,109,27,6,476,6.346666666666667,79.33333333333333
São Paulo,194,3,4,3,1,Yes,No,0,4000,70,61,10,131,0.6752577319587629,13.1
São Paulo,41,1,1,1,6,Yes,Yes,523,4000,131,51,3,705,17.195121951219512,235.0
Rio de Janeiro,65,1,1,1,8,Yes,Yes,2000,5100,250,66,3,2316,35.63076923076923,772.0
São Paulo,70,2,1,1,13,Yes,No,761,2150,67,28,4,856,12.228571428571428,214.0
São Paulo,278,4,5,2,16,Yes,Yes,4052,9000,1261,115,11,5428,19.52517985611511,493.45454545454544
Rio de Janeiro,35,1,1,0,5,Yes,No,306,1521,21,20,2,347,9.914285714285715,173.5
Campinas,300,4,4,3,2,Yes,No,2300,6000,417,77,11,2794,9.313333333333333,254.0
